enssscg_id	display_name	biotype
ENSSSCG00000000251	NULL	protein_coding
ENSSSCG00000000252	KRT8	protein_coding
ENSSSCG00000000253	KRT18	protein_coding
ENSSSCG00000000257	ITGB7	protein_coding
ENSSSCG00000000258	RARG	protein_coding
ENSSSCG00000000259	CSAD	protein_coding
ENSSSCG00000000260	SOAT2	protein_coding
ENSSSCG00000000261	IGFBP6	protein_coding
ENSSSCG00000000262	SPRYD3	protein_coding
ENSSSCG00000000263	TNS2	protein_coding
ENSSSCG00000000264	MFSD5	protein_coding
ENSSSCG00000000265	ESPL1	protein_coding
ENSSSCG00000000267	C12orf10	protein_coding
ENSSSCG00000000268	AAAS	protein_coding
ENSSSCG00000000271	AMHR2	protein_coding
ENSSSCG00000000272	SP1	protein_coding
ENSSSCG00000000273	NULL	protein_coding
ENSSSCG00000000274	PCBP2	protein_coding
ENSSSCG00000000275	MAP3K12	protein_coding
ENSSSCG00000000276	TARBP2	protein_coding
ENSSSCG00000000277	NPFF	protein_coding
ENSSSCG00000000278	NULL	protein_coding
ENSSSCG00000000279	HOXC13	protein_coding
ENSSSCG00000000281	HOXC12	protein_coding
ENSSSCG00000000288	NULL	protein_coding
ENSSSCG00000000289	NFE2	protein_coding
ENSSSCG00000000290	COPZ1	protein_coding
ENSSSCG00000000291	GPR84	protein_coding
ENSSSCG00000000292	ZNF385A	protein_coding
ENSSSCG00000000293	ITGA5	protein_coding
ENSSSCG00000000295	NCKAP1L	protein_coding
ENSSSCG00000000296	NULL	protein_coding
ENSSSCG00000000297	PDE1B	protein_coding
ENSSSCG00000000298	PPP1R1A	protein_coding
ENSSSCG00000000299	TESPA1	protein_coding
ENSSSCG00000000312	NULL	protein_coding
ENSSSCG00000000318	NULL	protein_coding
ENSSSCG00000000327	NULL	protein_coding
ENSSSCG00000000332	NULL	protein_coding
ENSSSCG00000000333	NULL	protein_coding
ENSSSCG00000000352	NULL	pseudogene
ENSSSCG00000000353	NULL	protein_coding
ENSSSCG00000000359	NULL	protein_coding
ENSSSCG00000000361	CD63	protein_coding
ENSSSCG00000000362	RDH5	protein_coding
ENSSSCG00000000363	GDF11	protein_coding
ENSSSCG00000000364	SARNP	protein_coding
ENSSSCG00000000365	NULL	protein_coding
ENSSSCG00000000366	DNAJC14	protein_coding
ENSSSCG00000000367	NULL	protein_coding
ENSSSCG00000000368	MMP19	protein_coding
ENSSSCG00000000370	DGKA	protein_coding
ENSSSCG00000000371	PMEL	protein_coding
ENSSSCG00000000373	CDK2	protein_coding
ENSSSCG00000000374	RPS26	protein_coding
ENSSSCG00000000376	SUOX	protein_coding
ENSSSCG00000000377	NULL	protein_coding
ENSSSCG00000000379	ESYT1	protein_coding
ENSSSCG00000000382	SMARCC2	protein_coding
ENSSSCG00000000383	RNF41	protein_coding
ENSSSCG00000000384	NABP2	protein_coding
ENSSSCG00000000385	SLC39A5	protein_coding
ENSSSCG00000000386	ANKRD52	protein_coding
ENSSSCG00000000393	PAN2	protein_coding
ENSSSCG00000000394	NULL	protein_coding
ENSSSCG00000000396	STAT2	protein_coding
ENSSSCG00000000398	APOF	protein_coding
ENSSSCG00000000399	TIMELESS	protein_coding
ENSSSCG00000000400	MIP	protein_coding
ENSSSCG00000000401	GLS2	protein_coding
ENSSSCG00000000402	RBMS2	protein_coding
ENSSSCG00000000403	BAZ2A	protein_coding
ENSSSCG00000000405	NULL	protein_coding
ENSSSCG00000000406	PTGES3	protein_coding
ENSSSCG00000000411	NAB2	protein_coding
ENSSSCG00000000413	MYO1A	protein_coding
ENSSSCG00000000415	SDR9C7	protein_coding
ENSSSCG00000000418	TAC3	protein_coding
ENSSSCG00000000419	RDH16	protein_coding
ENSSSCG00000000423	LRP1	protein_coding
ENSSSCG00000000431	MBD6	protein_coding
ENSSSCG00000000433	B4GALNT1	protein_coding
ENSSSCG00000000435	ARHGEF25	protein_coding
ENSSSCG00000000436	PIP4K2C	protein_coding
ENSSSCG00000000437	ARHGAP9	protein_coding
ENSSSCG00000000439	KIF5A	protein_coding
ENSSSCG00000000442	INHBE	protein_coding
ENSSSCG00000000443	GLI1	protein_coding
ENSSSCG00000000444	DCTN2	protein_coding
ENSSSCG00000000449	DTX3	protein_coding
ENSSSCG00000000453	ATP23	protein_coding
ENSSSCG00000000455	LRIG3	protein_coding
ENSSSCG00000000456	SLC16A7	protein_coding
ENSSSCG00000000457	USP15	protein_coding
ENSSSCG00000000458	MON2	protein_coding
ENSSSCG00000000461	NULL	protein_coding
ENSSSCG00000000462	RXYLT1	protein_coding
ENSSSCG00000000464	C12orf56	protein_coding
ENSSSCG00000000466	XPOT	protein_coding
ENSSSCG00000000469	LEMD3	protein_coding
ENSSSCG00000000473	NULL	protein_coding
ENSSSCG00000000475	IRAK3	protein_coding
ENSSSCG00000000477	HELB	protein_coding
ENSSSCG00000000478	GRIP1	protein_coding
ENSSSCG00000000482	IL22	protein_coding
ENSSSCG00000000483	NULL	protein_coding
ENSSSCG00000000484	NULL	protein_coding
ENSSSCG00000000486	NUP107	protein_coding
ENSSSCG00000000487	SLC35E3	protein_coding
ENSSSCG00000000488	MDM2	protein_coding
ENSSSCG00000000492	LYZ	protein_coding
ENSSSCG00000000493	FRS2	protein_coding
ENSSSCG00000000496	CCT2	protein_coding
ENSSSCG00000000499	BEST3	protein_coding
ENSSSCG00000000500	RAB3IP	protein_coding
ENSSSCG00000000502	CNOT2	protein_coding
ENSSSCG00000000504	PTPRB	protein_coding
ENSSSCG00000000509	ZFC3H1	protein_coding
ENSSSCG00000000510	TMEM19	protein_coding
ENSSSCG00000000512	TBC1D15	protein_coding
ENSSSCG00000000515	TRHDE	protein_coding
ENSSSCG00000000516	KCNC2	protein_coding
ENSSSCG00000000517	CAPS2	protein_coding
ENSSSCG00000000519	GLIPR1	protein_coding
ENSSSCG00000000521	PHLDA1	protein_coding
ENSSSCG00000000522	NULL	protein_coding
ENSSSCG00000000523	BBS10	protein_coding
ENSSSCG00000000527	SYT10	protein_coding
ENSSSCG00000000528	PKP2	protein_coding
ENSSSCG00000000529	DNM1L	protein_coding
ENSSSCG00000000530	FGD4	protein_coding
ENSSSCG00000000531	BICD1	protein_coding
ENSSSCG00000000534	IPO8	protein_coding
ENSSSCG00000000536	ERGIC2	protein_coding
ENSSSCG00000000540	OVCH1	protein_coding
ENSSSCG00000000541	FAR2	protein_coding
ENSSSCG00000000545	KLHL42	protein_coding
ENSSSCG00000000546	MANSC4	protein_coding
ENSSSCG00000000547	MRPS35	protein_coding
ENSSSCG00000000549	PPFIBP1	protein_coding
ENSSSCG00000000550	SMCO2	protein_coding
ENSSSCG00000000551	ARNTL2	protein_coding
ENSSSCG00000000552	MED21	protein_coding
ENSSSCG00000000553	TM7SF3	protein_coding
ENSSSCG00000000554	FGFR1OP2	protein_coding
ENSSSCG00000000555	ITPR2	protein_coding
ENSSSCG00000000559	RASSF8	protein_coding
ENSSSCG00000000563	LRMP	protein_coding
ENSSSCG00000000567	SOX5	protein_coding
ENSSSCG00000000570	C2CD5	protein_coding
ENSSSCG00000000571	ABCC9	protein_coding
ENSSSCG00000000573	KCNJ8	protein_coding
ENSSSCG00000000576	LDHB	protein_coding
ENSSSCG00000000577	GYS2	protein_coding
ENSSSCG00000000579	GOLT1B	protein_coding
ENSSSCG00000000580	RECQL	protein_coding
ENSSSCG00000000582	IAPP	protein_coding
ENSSSCG00000000583	PYROXD1	protein_coding
ENSSSCG00000000584	SLCO1A2	protein_coding
ENSSSCG00000000585	SLCO1C1	protein_coding
ENSSSCG00000000587	AEBP2	protein_coding
ENSSSCG00000000588	PLEKHA5	protein_coding
ENSSSCG00000000589	CAPZA3	protein_coding
ENSSSCG00000000590	PLCZ1	protein_coding
ENSSSCG00000000591	PIK3C2G	protein_coding
ENSSSCG00000000593	NULL	protein_coding
ENSSSCG00000000598	SLC15A5	protein_coding
ENSSSCG00000000599	DERA	protein_coding
ENSSSCG00000000600	EPS8	protein_coding
ENSSSCG00000000601	PTPRO	protein_coding
ENSSSCG00000000602	RERG	protein_coding
ENSSSCG00000000605	ERP27	protein_coding
ENSSSCG00000000607	ART4	protein_coding
ENSSSCG00000000608	NULL	protein_coding
ENSSSCG00000000610	SMCO3	protein_coding
ENSSSCG00000000611	WBP11	protein_coding
ENSSSCG00000000612	ATF7IP	protein_coding
ENSSSCG00000000614	GRIN2B	protein_coding
ENSSSCG00000000615	NULL	protein_coding
ENSSSCG00000000619	FAM234B	protein_coding
ENSSSCG00000000622	NULL	protein_coding
ENSSSCG00000000623	BCL2L14	protein_coding
ENSSSCG00000000625	LRP6	protein_coding
ENSSSCG00000000628	NULL	protein_coding
ENSSSCG00000000629	NULL	protein_coding
ENSSSCG00000000631	TAS2R9	protein_coding
ENSSSCG00000000633	YBX3	protein_coding
ENSSSCG00000000634	STYK1	protein_coding
ENSSSCG00000000635	NULL	protein_coding
ENSSSCG00000000636	NULL	protein_coding
ENSSSCG00000000638	NULL	protein_coding
ENSSSCG00000000639	NULL	protein_coding
ENSSSCG00000000640	NULL	protein_coding
ENSSSCG00000000642	NULL	protein_coding
ENSSSCG00000000645	GABARAPL1	protein_coding
ENSSSCG00000000647	OLR1	protein_coding
ENSSSCG00000000648	CLEC7A	protein_coding
ENSSSCG00000000649	CLEC1A	protein_coding
ENSSSCG00000000650	CLEC1B	protein_coding
ENSSSCG00000000651	CLEC12B	protein_coding
ENSSSCG00000000653	CD69	protein_coding
ENSSSCG00000000655	KLRF1	protein_coding
ENSSSCG00000000656	CLEC2B	protein_coding
ENSSSCG00000000657	NULL	protein_coding
ENSSSCG00000000659	NULL	protein_coding
ENSSSCG00000000660	A2M	protein_coding
ENSSSCG00000000661	PHC1	protein_coding
ENSSSCG00000000663	NULL	protein_coding
ENSSSCG00000000664	NULL	protein_coding
ENSSSCG00000000665	RIMKLB	protein_coding
ENSSSCG00000000667	AICDA	protein_coding
ENSSSCG00000000668	APOBEC1	protein_coding
ENSSSCG00000000669	GDF3	protein_coding
ENSSSCG00000000670	NULL	protein_coding
ENSSSCG00000000672	CLSTN3	protein_coding
ENSSSCG00000000675	C1R	protein_coding
ENSSSCG00000000679	LRRC23	protein_coding
ENSSSCG00000000680	GPR162	protein_coding
ENSSSCG00000000681	P3H3	protein_coding
ENSSSCG00000000682	GNB3	protein_coding
ENSSSCG00000000683	CDCA3	protein_coding
ENSSSCG00000000684	USP5	protein_coding
ENSSSCG00000000685	TPI1	protein_coding
ENSSSCG00000000687	CD4	protein_coding
ENSSSCG00000000688	LAG3	protein_coding
ENSSSCG00000000690	MLF2	protein_coding
ENSSSCG00000000691	COPS7A	protein_coding
ENSSSCG00000000692	PIANP	protein_coding
ENSSSCG00000000693	NCAPD2	protein_coding
ENSSSCG00000000694	NULL	protein_coding
ENSSSCG00000000695	IFFO1	protein_coding
ENSSSCG00000000696	NOP2	protein_coding
ENSSSCG00000000697	CHD4	protein_coding
ENSSSCG00000000699	LPAR5	protein_coding
ENSSSCG00000000700	ACRBP	protein_coding
ENSSSCG00000000702	ZNF384	protein_coding
ENSSSCG00000000703	VAMP1	protein_coding
ENSSSCG00000000704	TAPBPL	protein_coding
ENSSSCG00000000705	CD27	protein_coding
ENSSSCG00000000706	LTBR	protein_coding
ENSSSCG00000000707	SCNN1A	protein_coding
ENSSSCG00000000708	TNFRSF1A	protein_coding
ENSSSCG00000000709	PLEKHG6	protein_coding
ENSSSCG00000000712	VWF	protein_coding
ENSSSCG00000000713	NULL	protein_coding
ENSSSCG00000000716	KCNA1	protein_coding
ENSSSCG00000000717	KCNA6	protein_coding
ENSSSCG00000000718	GALNT8	protein_coding
ENSSSCG00000000719	NULL	protein_coding
ENSSSCG00000000720	AKAP3	protein_coding
ENSSSCG00000000721	DYRK4	protein_coding
ENSSSCG00000000722	RAD51AP1	protein_coding
ENSSSCG00000000723	C12orf4	protein_coding
ENSSSCG00000000728	PARP11	protein_coding
ENSSSCG00000000730	PRMT8	protein_coding
ENSSSCG00000000732	CRACR2A	protein_coding
ENSSSCG00000000734	NULL	protein_coding
ENSSSCG00000000735	TSPAN9	protein_coding
ENSSSCG00000000736	TEAD4	protein_coding
ENSSSCG00000000737	TULP3	protein_coding
ENSSSCG00000000738	RHNO1	protein_coding
ENSSSCG00000000739	FOXM1	protein_coding
ENSSSCG00000000740	TEX52	protein_coding
ENSSSCG00000000741	NRIP2	protein_coding
ENSSSCG00000000742	ITFG2	protein_coding
ENSSSCG00000000743	FKBP4	protein_coding
ENSSSCG00000000744	NULL	protein_coding
ENSSSCG00000000745	DDX11	protein_coding
ENSSSCG00000000746	WASHC1	protein_coding
ENSSSCG00000000748	IQSEC3	protein_coding
ENSSSCG00000000749	SLC6A12	protein_coding
ENSSSCG00000000751	CCDC77	protein_coding
ENSSSCG00000000753	NULL	protein_coding
ENSSSCG00000000754	RAD52	protein_coding
ENSSSCG00000000755	ERC1	protein_coding
ENSSSCG00000000757	ADIPOR2	protein_coding
ENSSSCG00000000759	NULL	protein_coding
ENSSSCG00000000760	LRTM2	protein_coding
ENSSSCG00000000764	HDHD5	protein_coding
ENSSSCG00000000765	IL17RA	protein_coding
ENSSSCG00000000766	CECR2	protein_coding
ENSSSCG00000000767	ATP6V1E1	protein_coding
ENSSSCG00000000769	BID	protein_coding
ENSSSCG00000000770	MICAL3	protein_coding
ENSSSCG00000000773	TUBA8	protein_coding
ENSSSCG00000000774	USP18	protein_coding
ENSSSCG00000000777	NULL	protein_coding
ENSSSCG00000000778	CPNE8	protein_coding
ENSSSCG00000000779	KIF21A	protein_coding
ENSSSCG00000000781	ABCD2	protein_coding
ENSSSCG00000000782	NULL	protein_coding
ENSSSCG00000000783	SLC2A13	protein_coding
ENSSSCG00000000784	LRRK2	protein_coding
ENSSSCG00000000789	CNTN1	protein_coding
ENSSSCG00000000791	PDZRN4	protein_coding
ENSSSCG00000000793	PPHLN1	protein_coding
ENSSSCG00000000795	ADAMTS20	protein_coding
ENSSSCG00000000798	TWF1	protein_coding
ENSSSCG00000000799	IRAK4	protein_coding
ENSSSCG00000000800	PUS7L	protein_coding
ENSSSCG00000000801	TMEM117	protein_coding
ENSSSCG00000000802	NELL2	protein_coding
ENSSSCG00000000804	ANO6	protein_coding
ENSSSCG00000000806	SCAF11	protein_coding
ENSSSCG00000000807	SLC38A1	protein_coding
ENSSSCG00000000808	SLC38A2	protein_coding
ENSSSCG00000000810	AMIGO2	protein_coding
ENSSSCG00000000811	PCED1B	protein_coding
ENSSSCG00000000812	NULL	protein_coding
ENSSSCG00000000816	SENP1	protein_coding
ENSSSCG00000000820	H1FNT	protein_coding
ENSSSCG00000000837	CHST11	protein_coding
ENSSSCG00000000838	SLC41A2	protein_coding
ENSSSCG00000000839	ALDH1L2	protein_coding
ENSSSCG00000000840	WASHC4	protein_coding
ENSSSCG00000000841	APPL2	protein_coding
ENSSSCG00000000842	KANSL2	protein_coding
ENSSSCG00000000843	TXNRD1	protein_coding
ENSSSCG00000000844	NFYB	protein_coding
ENSSSCG00000000846	HCFC2	protein_coding
ENSSSCG00000000847	TDG	protein_coding
ENSSSCG00000000848	GLT8D2	protein_coding
ENSSSCG00000000849	NULL	protein_coding
ENSSSCG00000000853	NT5DC3	protein_coding
ENSSSCG00000000854	NULL	protein_coding
ENSSSCG00000000856	PAH	protein_coding
ENSSSCG00000000857	IGF1	protein_coding
ENSSSCG00000000858	PMCH	protein_coding
ENSSSCG00000000859	PARPBP	protein_coding
ENSSSCG00000000860	NUP37	protein_coding
ENSSSCG00000000862	GNPTAB	protein_coding
ENSSSCG00000000863	SYCP3	protein_coding
ENSSSCG00000000864	CHPT1	protein_coding
ENSSSCG00000000866	MYBPC1	protein_coding
ENSSSCG00000000867	NULL	protein_coding
ENSSSCG00000000869	UTP20	protein_coding
ENSSSCG00000000870	ARL1	protein_coding
ENSSSCG00000000871	SLC5A8	protein_coding
ENSSSCG00000000873	ANO4	protein_coding
ENSSSCG00000000874	GAS2L3	protein_coding
ENSSSCG00000000875	NR1H4	protein_coding
ENSSSCG00000000877	SCYL2	protein_coding
ENSSSCG00000000882	NULL	protein_coding
ENSSSCG00000000883	NULL	protein_coding
ENSSSCG00000000884	APAF1	protein_coding
ENSSSCG00000000886	SLC25A3	protein_coding
ENSSSCG00000000887	NULL	protein_coding
ENSSSCG00000000890	NEDD1	protein_coding
ENSSSCG00000000891	LTA4H	protein_coding
ENSSSCG00000000892	HAL	protein_coding
ENSSSCG00000000893	AMDHD1	protein_coding
ENSSSCG00000000894	CCDC38	protein_coding
ENSSSCG00000000895	SNRPF	protein_coding
ENSSSCG00000000896	NTN4	protein_coding
ENSSSCG00000000897	NULL	protein_coding
ENSSSCG00000000900	VEZT	protein_coding
ENSSSCG00000000901	FGD6	protein_coding
ENSSSCG00000000902	NR2C1	protein_coding
ENSSSCG00000000905	NULL	protein_coding
ENSSSCG00000000906	TMCC3	protein_coding
ENSSSCG00000000907	PLXNC1	protein_coding
ENSSSCG00000000908	NULL	protein_coding
ENSSSCG00000000910	CRADD	protein_coding
ENSSSCG00000000915	DCN	protein_coding
ENSSSCG00000000916	LUM	protein_coding
ENSSSCG00000000917	KERA	protein_coding
ENSSSCG00000000918	EPYC	protein_coding
ENSSSCG00000000920	POC1B	protein_coding
ENSSSCG00000000924	C12orf50	protein_coding
ENSSSCG00000000925	C12orf29	protein_coding
ENSSSCG00000000926	CEP290	protein_coding
ENSSSCG00000000927	TMTC3	protein_coding
ENSSSCG00000000932	NTS	protein_coding
ENSSSCG00000000934	LRRIQ1	protein_coding
ENSSSCG00000000936	SLC6A15	protein_coding
ENSSSCG00000000937	MYF5	protein_coding
ENSSSCG00000000939	ACSS3	protein_coding
ENSSSCG00000000940	PPFIA2	protein_coding
ENSSSCG00000000941	METTL25	protein_coding
ENSSSCG00000000943	OTOGL	protein_coding
ENSSSCG00000000948	SYT1	protein_coding
ENSSSCG00000000950	E2F7	protein_coding
ENSSSCG00000000951	CSRP2	protein_coding
ENSSSCG00000000952	NULL	protein_coding
ENSSSCG00000000955	TBC1D22A	protein_coding
ENSSSCG00000000958	DYRK2	protein_coding
ENSSSCG00000000959	NULL	protein_coding
ENSSSCG00000000960	KLHDC7B	protein_coding
ENSSSCG00000000963	SYCE3	protein_coding
ENSSSCG00000000964	LMF2	protein_coding
ENSSSCG00000000965	NCAPH2	protein_coding
ENSSSCG00000000967	ODF3B	protein_coding
ENSSSCG00000000968	SBF1	protein_coding
ENSSSCG00000000970	PPP6R2	protein_coding
ENSSSCG00000000971	HDAC10	protein_coding
ENSSSCG00000000972	TUBGCP6	protein_coding
ENSSSCG00000000973	SELENOO	protein_coding
ENSSSCG00000000974	TRABD	protein_coding
ENSSSCG00000000975	PANX2	protein_coding
ENSSSCG00000000976	MOV10L1	protein_coding
ENSSSCG00000000978	MLC1	protein_coding
ENSSSCG00000000980	ALG12	protein_coding
ENSSSCG00000000981	CRELD2	protein_coding
ENSSSCG00000000982	TTLL8	protein_coding
ENSSSCG00000000983	NULL	protein_coding
ENSSSCG00000000985	EXOC2	protein_coding
ENSSSCG00000000991	FOXQ1	protein_coding
ENSSSCG00000000994	GMDS	protein_coding
ENSSSCG00000000997	PPP1R3G	protein_coding
ENSSSCG00000000998	RPP40	protein_coding
ENSSSCG00000000999	CDYL	protein_coding
ENSSSCG00000001000	ECI2	protein_coding
ENSSSCG00000001001	NULL	protein_coding
ENSSSCG00000001002	PRPF4B	protein_coding
ENSSSCG00000001004	SLC22A23	protein_coding
ENSSSCG00000001005	NULL	protein_coding
ENSSSCG00000001008	BPHL	protein_coding
ENSSSCG00000001009	RIPK1	protein_coding
ENSSSCG00000001010	NULL	protein_coding
ENSSSCG00000001011	SERPINB1	protein_coding
ENSSSCG00000001021	RREB1	protein_coding
ENSSSCG00000001022	SSR1	protein_coding
ENSSSCG00000001024	RIOK1	protein_coding
ENSSSCG00000001025	DSP	protein_coding
ENSSSCG00000001027	BMP6	protein_coding
ENSSSCG00000001033	SLC35B3	protein_coding
ENSSSCG00000001035	NULL	protein_coding
ENSSSCG00000001036	TFAP2A	protein_coding
ENSSSCG00000001038	NULL	protein_coding
ENSSSCG00000001040	C6orf52	protein_coding
ENSSSCG00000001041	PAK1IP1	protein_coding
ENSSSCG00000001042	MAK	protein_coding
ENSSSCG00000001045	ELOVL2	protein_coding
ENSSSCG00000001048	ADTRP	protein_coding
ENSSSCG00000001049	HIVEP1	protein_coding
