celltype	marker	expression	gene_name	comment	ensg_id	gene_description
MAIT T-cell	CD20	NA	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
myeloid DC	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
memory B-cell	CD20	+	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
memory CD4 T-cell	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
memory CD8 T-cell	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
naive B-cell	CD20	+	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
naive CD4 T-cell	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
naive CD8 T-cell	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
neutrophil	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
NK-cell	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
non-classical monocyte	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
plasmacytoid DC	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
T-reg	CD20	NA	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
basophil	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
classical monocyte	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
eosinophil	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
gdTCR	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
intermediate monocyte	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
MAIT T-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
myeloid DC	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
memory B-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
memory CD4 T-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
memory CD8 T-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
naive B-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
naive CD4 T-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
naive CD8 T-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
neutrophil	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
NK-cell	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
non-classical monocyte	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
plasmacytoid DC	CD25	NA	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
T-reg	CD25	+	IL2RA		ENSG00000134460	interleukin 2 receptor subunit alpha
basophil	CD27	NA	CD27		ENSG00000139193	CD27 molecule
classical monocyte	CD27	NA	CD27		ENSG00000139193	CD27 molecule
eosinophil	CD27	NA	CD27		ENSG00000139193	CD27 molecule
gdTCR	CD27	NA	CD27		ENSG00000139193	CD27 molecule
intermediate monocyte	CD27	NA	CD27		ENSG00000139193	CD27 molecule
MAIT T-cell	CD27	NA	CD27		ENSG00000139193	CD27 molecule
myeloid DC	CD27	NA	CD27		ENSG00000139193	CD27 molecule
memory B-cell	CD27	+	CD27		ENSG00000139193	CD27 molecule
memory CD4 T-cell	CD27	NA	CD27		ENSG00000139193	CD27 molecule
memory CD8 T-cell	CD27	NA	CD27		ENSG00000139193	CD27 molecule
naive B-cell	CD27	-	CD27		ENSG00000139193	CD27 molecule
naive CD4 T-cell	CD27	NA	CD27		ENSG00000139193	CD27 molecule
naive CD8 T-cell	CD27	NA	CD27		ENSG00000139193	CD27 molecule
